브랜드	카테고리	모델명	출시연도	추천 수준	특징 및 비고
Srixon	드라이버	ZXi	2025	중급자~고급자	낮은 스핀, 조정 가능한 무게 포함됨
Srixon	드라이버	ZXi Max	2025	초급자~중급자	관용성 큼
Srixon	드라이버	ZXi LS	2025	고급자	스핀 제어 쪽 강함
Srixon	드라이버	ZX5 Mk II	2023	중급자	거리+관용성 균형
Srixon	드라이버	ZX7 Mk II	2023	고급자	작업 가능성 있음
Srixon	아이언	ZXi4	~2025	초급자~중급자	치기 쉬운 설계
Srixon	아이언	ZXi5	~2025	중급자	느낌+관용성 균형
Srixon	아이언	ZXi7	~2025	고급자	컴팩트, 정확도 높음
Srixon	아이언	ZX4 Mk II	~2025	초급자	최고 관용성
XXIO	드라이버	XXIO 13 Driver	2024	초급자~중급자	가벼움 + 높은 런치
XXIO	아이언	XXIO 13 Irons	2024	초급자~중급자	쉬운 런치, 미스샷 보완
XXIO	우드/하이브리드	XXIO 13 Fairway / Hybrid	2024	초급자~중급자	비행 안정성
Cleveland	웨지	RTZ Tour Satin Wedge	2025	중급자~고급자	Z-Alloy, 다양한 그라인드
Cleveland	웨지	RTZ Tour Rack Full-Face Wedge	2025	고급자	풀 페이스, 정밀 스핀
Cleveland	아이언	ZipCore XL Irons	2024	초급자~중급자	관용성 + 쉬운 런치
